Time	S1	S2	I1	I2	Y1	Y2	R1	R2	D1	D2	V1	V2	NewI	NewY
0.000000	32136267.000000	27172420.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1.002747	32136265.967471	27172419.373182	1.922005	1.531368	0.000000	0.000000	0.109571	0.077046	0.000953	0.018404	0.000000	0.000000	1.659347	0.000000	
2.005495	32136264.159148	27172418.263832	3.523968	2.489412	0.000000	0.000000	0.314151	0.199178	0.002734	0.047578	0.000000	0.000000	4.577020	0.000000	
3.008242	32136260.989656	27172416.309116	6.320343	4.193092	0.000000	0.000000	0.684049	0.401811	0.005952	0.095981	0.000000	0.000000	9.701228	0.000000	
4.010989	32136255.421004	27172412.865514	11.223213	7.208323	0.000000	0.000000	1.344088	0.747587	0.011695	0.178577	0.000000	0.000000	18.713482	0.000000	
5.013736	32136245.665172	27172406.824393	19.803578	12.510213	0.000000	0.000000	2.509415	1.344283	0.021835	0.321110	0.000000	0.000000	34.510435	0.000000	
6.016484	32136228.490566	27172396.181947	34.900671	21.861408	0.000000	0.000000	4.569007	2.386564	0.039756	0.570081	0.000000	0.000000	62.327487	0.000000	
7.019231	32136198.383950	27172377.519499	61.358244	38.269272	0.000000	0.000000	8.186572	4.206434	0.071234	1.004795	0.000000	0.000000	111.096551	0.000000	
8.021978	32136145.494278	27172344.728466	107.831007	67.107579	0.000000	0.000000	14.548127	7.397021	0.126588	1.766934	0.000000	0.000000	196.777256	0.000000	
9.024725	32136052.387721	27172286.998120	189.635473	117.886729	0.000001	0.000000	25.752723	13.007933	0.224082	3.107218	0.000000	0.000000	347.614159	0.000001	
10.027473	32135889.545944	27172186.024041	332.704934	206.709548	0.000002	0.000001	45.354477	22.816266	0.394643	5.450144	0.000000	0.000000	611.430015	0.000004	
11.030220	32135602.574655	27172008.075893	584.827209	363.249436	0.000008	0.000003	79.902869	40.096724	0.695259	9.577944	0.000000	0.000000	1076.349452	0.000011	
12.032967	32135098.431564	27171695.456665	1027.743560	638.263663	0.000025	0.000009	140.601435	70.450970	1.223415	16.828694	0.000000	0.000000	1893.111771	0.000037	
13.035714	32134216.545704	27171148.593474	1802.521604	1119.348579	0.000073	0.000027	246.785266	123.546291	2.147353	29.511629	0.000000	0.000000	3321.860822	0.000107	
14.038462	32132660.692901	27170183.786044	3169.400700	1968.106765	0.000227	0.000084	434.128687	217.219625	3.777485	51.887482	0.000000	0.000000	5842.521055	0.000331	
15.041209	32129932.550005	27168491.986574	5566.155568	3456.402879	0.000742	0.000276	762.657567	381.484609	6.636118	91.125664	0.000000	0.000000	10262.463422	0.001085	
16.043956	32125154.231653	27165528.742984	9763.997976	6063.180267	0.002132	0.000792	1338.124797	669.218821	11.643442	159.857136	0.000000	0.000000	18004.025363	0.003116	
17.046703	32116729.397977	27160303.829861	17165.150235	10659.442833	0.006724	0.002497	2352.971102	1176.655398	20.473963	281.069410	0.000000	0.000000	31653.772162	0.009822	
18.049451	32101983.273625	27151157.635978	30118.826582	18704.818466	0.021374	0.007941	4129.942371	2065.215656	35.936048	493.321959	0.000000	0.000000	55546.090397	0.031263	
19.052198	32076127.577985	27135118.598896	52830.070916	32812.585408	0.062537	0.023228	7247.227724	3624.095678	63.060837	865.696790	0.000000	0.000000	97440.823119	0.091397	
20.054945	32030675.724962	27106913.916776	92747.336312	57617.388157	0.202659	0.075277	12733.932552	6368.380578	110.803514	1521.239213	0.000000	0.000000	171097.358262	0.296150	
21.057692	31951458.804499	27057733.250868	162301.214170	100860.465202	0.612088	0.227413	22313.210012	11160.970396	194.159231	2666.086122	0.000000	0.000000	299494.944633	0.895318	
22.060440	31812999.341614	26971702.334331	283820.017770	176477.674921	1.826858	0.678735	39106.520347	19566.323301	340.293411	4673.988712	0.000000	0.000000	523985.324054	2.670095	
23.063187	31572745.633512	26822146.119775	494475.840498	307820.301024	5.950238	2.211887	68444.963901	34266.554035	595.611850	8185.813279	0.000000	0.000000	913795.246713	8.704209	
24.065934	31160260.019639	26564787.196758	855716.955579	533606.035978	17.228866	6.406934	119236.136761	59747.812183	1037.659155	14273.548147	0.000000	0.000000	1583639.783603	25.218112	
25.068681	30459719.077403	26125679.060776	1467730.156002	918042.575413	51.372331	19.125989	206966.073631	103865.271306	1801.320634	24814.966515	0.000000	0.000000	2723288.861821	75.188801	
26.071429	29310308.843644	25399095.884468	2467135.702723	1551494.820425	158.438917	59.085229	355569.717768	178999.348525	3095.296948	42771.861353	0.000000	0.000000	4599282.271888	232.533952	
27.074176	27480955.948175	24228331.954216	4046948.228568	2566422.074910	438.996593	164.121940	602676.934793	304683.582710	5247.891871	72819.266224	0.000000	0.000000	7599399.097609	645.236386	
28.076923	24772184.206890	22456727.496563	6355449.410031	4085406.311259	1199.092156	450.848080	998734.569451	508308.505065	8700.721471	121527.839033	0.000000	0.000000	12079775.296547	1767.946991	
29.079670	21140313.253022	20000398.767571	9379510.331330	6151264.087846	3095.901978	1172.870143	1599404.677459	822769.389513	13943.836211	196815.884927	0.000000	0.000000	18167974.979407	4593.500979	
30.082418	16864710.922152	16956337.386320	12792504.018683	8627658.423101	7303.626531	2792.980135	2450364.527913	1279362.492016	21384.904720	306269.718428	0.000000	0.000000	25487638.691528	10920.732786	
31.085165	12502255.937315	13632264.255054	16028384.677469	11187644.040593	15401.722650	5967.085970	3559122.658213	1892949.561209	31103.004353	453596.057173	0.000000	0.000000	33174166.807631	23295.968809	
32.087912	8699432.447053	10471233.865793	18480733.519026	13397705.878320	29058.080312	11433.319257	4884291.431880	2655092.365745	42752.521729	636955.570885	0.000000	0.000000	40138020.687154	44617.324519	
33.090659	5772542.639140	7779328.839692	19906640.561963	14992133.689447	49086.820811	19664.987553	6352297.619965	3532729.559946	55700.358121	848563.923362	0.000000	0.000000	45756815.521168	76806.650669	
34.093407	3736544.363398	5676037.101947	20368343.635760	15902180.752899	75312.660858	30746.791384	7886786.734853	4484818.825065	69280.605132	1078637.528704	0.000000	0.000000	49896105.534655	120436.704539	
35.096154	2398855.699336	4121962.086685	20125981.874543	16216145.060475	106655.681683	44348.573470	9421864.246363	5472217.744406	82910.498075	1317747.534964	0.000000	0.000000	52787869.213979	174704.645357	
36.098901	1545308.727269	3004582.683844	19436375.481066	16087078.133038	141623.943455	59956.240888	10916737.740054	6462724.807847	96222.108155	1558079.134383	0.000000	0.000000	54758795.588886	238079.179091	
37.101648	1010242.733971	2213587.502755	18492959.209773	15654125.952801	178590.092093	76917.474923	12345500.114314	7433717.439223	108975.849848	1794072.630298	0.000000	0.000000	56084856.763274	308608.672052	
38.104396	673378.304678	1654159.300740	17430534.761179	15030965.544429	216086.227082	94598.557010	13695222.256619	8370605.994474	121046.450443	2022091.603347	0.000000	0.000000	56981149.394582	384353.794915	
39.107143	458649.459812	1255438.929238	16330285.455621	14299576.385287	252945.505483	112461.842312	14961997.812550	9264951.938439	132389.766534	2239991.904725	0.000000	0.000000	57594598.610950	463625.292982	
