Time	S1	S2	I1	I2	Y1	Y2	R1	R2	D1	D2	V1	V2	NewI	NewY
0.000000	44498487.000000	2855219.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1.002747	44498485.976383	2380380.948382	1.912869	0.969763	0.000000	0.000043	0.109792	474838.067195	0.000955	0.014617	0.000000	474838.006044	1.069191	0.000044	
2.005495	44498484.332666	1905542.891376	3.355710	0.946960	0.000000	0.000209	0.308936	949676.132615	0.002688	0.028840	0.000000	949676.012088	2.763870	0.000217	
3.008242	44498481.700909	1430704.828551	5.643847	0.931444	0.000000	0.000599	0.649592	1424514.196626	0.005652	0.042780	0.000000	1424514.018132	5.452408	0.000630	
4.010989	44498477.496280	955866.762412	9.278267	0.920238	0.000000	0.001396	1.214882	1899352.259425	0.010571	0.056528	0.000000	1899352.024176	9.717132	0.001487	
5.013736	44122933.562014	856565.945139	15.026851	0.916842	0.000244	0.002814	375539.392300	1998653.065068	0.018591	0.070138	375537.255959	1998652.774261	16.462628	0.003281	
6.016484	43648085.070856	856565.842578	24.017272	0.947861	0.001694	0.004970	850378.878693	1998653.120659	0.031485	0.083932	850375.262003	1998652.774261	27.050302	0.007189	
7.019231	43173230.707940	856565.683594	37.999477	1.031050	0.005596	0.008275	1325219.235018	1998653.178535	0.051969	0.098546	1325213.268047	1998652.774261	43.566159	0.015059	
8.021978	42698367.311224	856565.436545	59.646447	1.193042	0.014248	0.013378	1800060.943817	1998653.242090	0.084263	0.114946	1800051.274091	1998652.774261	69.203879	0.030205	
9.024725	42223490.213143	856565.054214	92.895851	1.473658	0.031520	0.021241	2274904.724822	1998653.316329	0.134663	0.134558	2274889.280135	1998652.774261	108.678247	0.058092	
10.027473	41748592.233842	856564.463236	143.793380	1.934817	0.064031	0.033361	2749751.695794	1998653.408997	0.212953	0.159589	2749727.286179	1998652.774261	169.242482	0.107941	
