Time	S1	S2	I1	I2	Y1	Y2	R1	R2	D1	D2	V1	V2	NewI	NewY
0.000000	44498487.000000	2855219.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1.002747	44052278.616635	2826588.310220	1.906823	0.973760	0.000054	0.000003	446207.475534	28630.701381	0.000954	0.014636	446207.365934	28630.640110	1.067101	0.000058	
2.005495	43606069.639507	2797957.602860	3.318581	0.966438	0.000295	0.000013	892415.038943	57261.401675	0.002675	0.029015	892414.731868	57261.280220	2.745545	0.000321	
3.008242	43159859.739904	2769326.867467	5.514478	0.986715	0.000916	0.000036	1338622.739112	85892.102305	0.005588	0.043477	1338622.097802	85891.920330	5.374496	0.001011	
4.010989	42713648.419330	2740696.088238	8.917254	1.047817	0.002252	0.000084	1784830.650815	114522.805342	0.010349	0.058520	1784829.463736	114522.560440	9.468256	0.002514	
5.013736	42267434.902550	2712065.240633	14.182644	1.170346	0.004917	0.000175	2231038.891901	143153.513944	0.017987	0.074903	2231036.829670	143153.200549	15.826597	0.005543	
6.016484	41821218.049917	2683434.288614	22.272059	1.384577	0.009969	0.000343	2677247.638014	171784.232730	0.030040	0.093736	2677244.195604	171783.840659	25.625205	0.011337	
7.019231	41374996.149704	2654803.178084	34.628300	1.736016	0.019061	0.000643	3123457.154107	200414.968580	0.048828	0.116677	3123451.561538	200414.480769	40.629904	0.021839	
8.021978	40928766.541412	2626171.824999	53.486793	2.295244	0.035186	0.001170	3569667.858590	229045.732265	0.078018	0.146322	3569658.927473	229045.120879	63.585237	0.040584	
9.024725	40482525.426576	2597540.109391	82.029839	3.162795	0.063172	0.002081	4015880.357488	257676.539315	0.122925	0.186417	4015866.293407	257675.760989	98.409637	0.073298	
10.027473	40036267.276224	2568907.856664	124.883495	4.484875	0.110391	0.003616	4462095.538552	286307.412409	0.191338	0.242436	4462073.659341	286306.401099	150.806673	0.128754	
11.030220	39589983.632839	2540274.799768	189.108635	6.484704	0.189021	0.006167	4908314.774200	314938.386529	0.295304	0.322831	4908281.025275	314937.041209	229.500910	0.221501	
12.032967	39143662.187457	2511640.550066	284.944617	9.486052	0.318979	0.010383	5354540.096270	343569.513390	0.452677	0.440109	5354488.391209	343567.681319	347.189950	0.375422	
13.035714	38697285.814674	2483004.566858	426.593691	13.938056	0.530533	0.017246	5800774.372431	372200.865916	0.688671	0.611924	5800695.757143	372198.321429	521.539896	0.626941	
